Date,League,Team1,Team2,T1 Open,T1 DK,T2 Open,T2 DK
2025/05/24,mlb,Orioles,Red Sox,-110,-108,-110,-112
2025/05/24,mlb,Royals,Twins,+100,+105,-120,-125
2025/05/24,mlb,Diamondbacks,Cardinals,-108,-105,-112,-115
2025/05/24,mlb,Brewers,Pirates,-108,-115,-112,-105
2025/05/24,mlb,Giants,Nationals,-135,-155,+114,+130
2025/05/24,mlb,Padres,Braves,-125,+130,+105,-155
2025/05/24,mlb,Rangers,White Sox,-185,-162,+154,+136
2025/05/24,mlb,Cubs,Reds,-125,-115,+105,-105
2025/05/24,mlb,Mariners,Astros,+105,-115,-125,-105
2025/05/24,mlb,Yankees,Rockies,-340,-325,+270,+260
2025/05/24,mlb,Orioles,Red Sox,-105,+114,-115,-135
2025/05/24,mlb,Blue Jays,Rays,+100,-105,-120,-115
2025/05/24,mlb,Dodgers,Mets,-105,-105,-115,-115
2025/05/24,mlb,Guardians,Tigers,+124,+124,-148,-148
2025/05/24,mlb,Phillies,Athletics,-175,-170,+145,+142
2025/05/24,mlb,Marlins,Angels,+145,+180,-175,-218
2025/05/23,mlb,Orioles,Red Sox,n/a,+105,n/a,-125
2025/05/23,mlb,Cubs,Reds,n/a,-108,n/a,-112
2025/05/23,mlb,Brewers,Pirates,n/a,+105,n/a,-125
2025/05/23,mlb,Giants,Nationals,n/a,-105,n/a,-115
2025/05/23,mlb,Blue Jays,Rays,n/a,+124,n/a,-148
2025/05/23,mlb,Dodgers,Mets,n/a,+102,n/a,-122
2025/05/23,mlb,Guardians,Tigers,n/a,+102,n/a,-122
2025/05/23,mlb,Padres,Braves,n/a,+154,n/a,-185
2025/05/23,mlb,Rangers,White Sox,n/a,-192,n/a,+160
2025/05/23,mlb,Mariners,Astros,n/a,+102,n/a,-122
2025/05/23,mlb,Royals,Twins,n/a,+160,n/a,-192
2025/05/23,mlb,Diamondbacks,Cardinals,n/a,-115,n/a,-105
2025/05/23,mlb,Yankees,Rockies,n/a,-305,n/a,+245
2025/05/23,mlb,Marlins,Angels,n/a,+130,n/a,-155
2025/05/23,mlb,Phillies,Athletics,n/a,-230,n/a,+190
2025/05/23,mlb,Orioles,Red Sox,+110,+110,-130,-130
2025/05/22,mlb,Rangers,Yankees,+136,+130,-162,-155
2025/05/22,mlb,Padres,Blue Jays,-112,-118,-108,-102
2025/05/22,mlb,Phillies,Rockies,-298,-278,+240,+225
2025/05/22,mlb,Angels,Athletics,+130,+120,-155,-142
2025/05/22,mlb,Guardians,Tigers,+120,+110,-142,-130
2025/05/22,mlb,Brewers,Pirates,-125,-118,+105,-102
2025/05/22,mlb,Braves,Nationals,-155,-155,+130,+130
2025/05/22,mlb,Mariners,Astros,-135,-130,+114,+110
2025/05/22,mlb,Orioles,Red Sox,+105,+110,-125,-130
2025/05/21,mlb,Reds,Pirates,-135,-125,+114,+105
2025/05/21,mlb,Guardians,Twins,n/a,n/a,n/a,n/a
2025/05/21,mlb,Astros,Rays,-135,-148,+114,+124
2025/05/21,mlb,Orioles,Brewers,+105,-108,-125,-112
2025/05/21,mlb,Cubs,Marlins,-130,-148,+110,+124
2025/05/21,mlb,Tigers,Cardinals,-105,-102,-115,-118
2025/05/21,mlb,Mariners,White Sox,-155,-155,+130,+130
2025/05/21,mlb,Royals,Giants,+170,+185,-205,-225
2025/05/21,mlb,Guardians,Twins,+124,+110,-148,-130
2025/05/21,mlb,Mets,Red Sox,+130,+124,-155,-148
2025/05/21,mlb,Rangers,Yankees,-105,-105,-115,-115
2025/05/21,mlb,Padres,Blue Jays,+136,+140,-162,-166
2025/05/21,mlb,Phillies,Rockies,-238,-205,+195,+170
2025/05/21,mlb,Angels,Athletics,+136,+130,-162,-155
2025/05/21,mlb,Diamondbacks,Dodgers,+110,+130,-130,-155
2025/05/21,mlb,Braves,Nationals,-170,-155,+142,+130
2025/05/20,mlb,Cubs,Marlins,-155,-155,+130,+130
2025/05/20,mlb,Reds,Pirates,-125,-142,+105,+120
2025/05/20,mlb,Mets,Red Sox,-120,-135,+100,+114
2025/05/20,mlb,Braves,Nationals,-192,-170,+160,+142
2025/05/20,mlb,Astros,Rays,-115,+114,-105,-135
2025/05/20,mlb,Rangers,Yankees,+150,+180,-180,-218
2025/05/20,mlb,Padres,Blue Jays,-120,-118,+100,-102
2025/05/20,mlb,Orioles,Brewers,+105,+100,-125,-120
2025/05/20,mlb,Mariners,White Sox,-180,-185,+150,+154
2025/05/20,mlb,Tigers,Cardinals,-175,-180,+145,+150
2025/05/20,mlb,Phillies,Rockies,-285,-298,+230,+240
2025/05/20,mlb,Royals,Giants,+114,+114,-135,-135
2025/05/20,mlb,Angels,Athletics,+124,+142,-148,-170
2025/05/20,mlb,Diamondbacks,Dodgers,+180,+195,-218,-238
2025/05/20,mlb,Guardians,Twins,-105,-105,-115,-115
2025/05/19,mlb,Guardians,Twins,+120,+120,-142,-142
2025/05/19,mlb,Reds,Pirates,-125,-118,+105,-102
2025/05/19,mlb,Cubs,Marlins,-175,-170,+145,+142
2025/05/19,mlb,Mets,Red Sox,-142,-130,+120,+110
2025/05/19,mlb,Astros,Rays,+114,+124,-135,-148
2025/05/19,mlb,Mariners,White Sox,-205,-192,+170,+160
2025/05/19,mlb,Orioles,Brewers,+100,-102,-120,-118
2025/05/19,mlb,Tigers,Cardinals,+136,+140,-162,-166
2025/05/19,mlb,Phillies,Rockies,-278,-245,+225,+200
2025/05/19,mlb,Royals,Giants,+110,+114,-130,-135
2025/05/19,mlb,Angels,Athletics,+102,+120,-122,-142
2025/05/19,mlb,Diamondbacks,Dodgers,+120,+124,-142,-148
2025/05/18,mlb,Astros,Rangers,-135,-115,+114,-105
2025/05/18,mlb,Nationals,Orioles,+140,+160,-166,-192
2025/05/18,mlb,Braves,Red Sox,-125,-125,+105,+105
2025/05/18,mlb,Pirates,Phillies,-118,-110,-102,-110
2025/05/18,mlb,Tigers,Blue Jays,-108,+105,-112,-125
2025/05/18,mlb,Rays,Marlins,-155,-166,+130,+140
2025/05/18,mlb,Guardians,Reds,-102,+114,-118,-135
2025/05/18,mlb,Twins,Brewers,+136,+124,-162,-148
2025/05/18,mlb,Cardinals,Royals,-102,-110,-118,-110
2025/05/18,mlb,White Sox,Cubs,+245,+215,-305,-265
2025/05/18,mlb,Athletics,Giants,+124,+130,-148,-155
2025/05/18,mlb,Rockies,Diamondbacks,+285,+240,-360,-298
2025/05/18,mlb,Mariners,Padres,+120,+124,-142,-148
2025/05/18,mlb,Angels,Dodgers,+205,+195,-250,-238
2025/05/18,mlb,Mets,Yankees,+145,+140,-175,-166
2025/05/17,mlb,Mets,Yankees,+114,+114,-135,-135
2025/05/17,mlb,White Sox,Cubs,+215,+260,-265,-325
